Id,SalePrice
1461,126904.0
1462,161763.5
1463,182513.035
1464,182308.535
1465,185872.9
1466,190396.9
1467,181402.255
1468,180036.415
1469,193997.725
1470,124070.75
1471,189490.43
1472,91771.0
1473,91700.54
1474,138446.75
1475,124528.5
1476,323199.88
1477,238783.72
1478,286493.21
1479,328787.4
1480,439807.515
1481,310052.965
1482,193948.1
1483,190849.17
1484,171113.56
1485,179801.265
1486,211862.55
1487,292886.16
1488,238816.65
1489,187397.92
1490,225011.35
1491,184907.165
1492,106167.0
1493,178599.75
1494,290160.91
1495,201063.58
1496,218375.345
1497,186831.99
1498,163307.13
1499,162883.63
1500,163639.11
1501,170881.19
1502,163179.63
1503,208822.21
1504,228019.2
1505,215395.705
1506,178267.125
1507,291842.97
1508,194807.535
1509,161240.92
1510,150281.43
1511,150495.43
1512,158915.125
1513,157402.195
1514,164766.15
1515,197120.005
1516,132335.93
1517,149080.605
1518,142572.89
1519,216433.205
1520,140746.075
1521,147135.06
1522,155065.625
1523,123458.75
1524,127043.655
1525,121053.33
1526,135267.25
1527,105519.4
1528,116960.71
1529,141451.2
1530,152908.375
1531,130192.455
1532,103136.72
1533,131131.455
1534,117467.71
1535,138734.05
1536,113951.515
1537,104815.0
1538,127256.41
1539,207624.685
1540,166826.065
1541,130293.16
1542,132453.05
1543,164958.81
1544,97129.74
1545,95866.5
1546,116623.71
1547,126971.63
1548,132028.25
1549,93692.5
1550,134985.5
1551,109491.15
1552,146375.73
1553,152116.205
1554,121420.925
1555,179186.59
1556,115003.38
1557,137703.35
1558,91598.5
1559,128583.35
1560,125516.94
1561,182442.125
1562,124009.25
1563,124456.25
1564,149479.23
1565,164891.295
1566,205518.5
1567,101564.62
1568,203886.36
1569,153117.54
1570,132808.01
1571,140642.155
1572,140654.0
1573,254976.01
1574,154672.305
1575,207357.95
1576,211776.565
1577,189306.41
1578,128982.91
1579,145831.3
1580,182303.505
1581,142941.55
1582,125924.5
1583,322177.285
1584,248565.76
1585,144301.52
1586,88802.0
1587,119930.83
1588,152849.93
1589,114117.11
1590,140115.685
1591,124999.25
1592,121655.215
1593,108814.87
1594,163744.975
1595,163131.75
1596,178010.375
1597,205382.51
1598,182423.035
1599,139259.02
1600,173041.05
1601,77278.105
1602,96512.46
1603,108264.64
1604,248384.04
1605,233679.48
1606,160701.805
1607,224020.22
1608,196419.915
1609,187210.7
1610,180617.425
1611,164567.055
1612,193161.525
1613,190673.83
1614,128466.55
1615,90993.0
1616,91068.0
1617,91413.5
1618,124420.75
1619,133031.0
1620,276136.405
1621,135054.0
1622,139280.5
1623,268028.91
1624,183414.755
1625,123100.33
1626,160961.24
1627,182263.035
1628,254996.915
1629,181173.755
1630,376779.525
1631,214461.035
1632,291292.09
1633,179733.265
1634,181173.755
1635,181074.59
1636,181551.045
1637,182070.5
1638,193553.5
1639,171216.25
1640,243924.82
1641,171005.0
1642,229621.98
1643,188326.755
1644,211397.615
1645,166442.5
1646,156973.555
1647,159758.805
1648,142069.655
1649,137248.21
1650,124146.75
1651,124499.25
1652,91785.0
1653,92230.0
1654,152514.355
1655,136403.635
1656,139532.25
1657,152514.355
1658,139815.25
1659,123964.1
1660,148914.68
1661,451951.775
1662,351663.56
1663,367714.775
1664,428147.665
1665,321345.475
1666,311748.4
1667,355795.515
1668,316704.45
1669,234452.97
1670,346642.27
1671,315415.475
1672,453545.81
1673,284175.125
1674,240394.29
1675,192297.24
1676,189078.815
1677,196180.39
1678,423670.19
1679,387432.02
1680,340873.235
1681,225023.235
1682,318967.705
1683,181672.29
1684,180096.215
1685,180073.265
1686,171795.195
1687,179596.765
1688,181173.755
1689,182558.035
1690,180020.915
1691,177863.085
1692,220991.525
1693,179596.765
1694,180818.755
1695,180036.415
1696,276555.145
1697,180036.415
1698,343232.37
1699,313323.225
1700,241707.4
1701,268509.495
1702,293776.685
1703,265402.5
1704,289616.51
1705,195544.86
1706,389042.015
1707,200615.56
1708,200644.61
1709,236955.72
1710,198241.05
1711,223478.095
1712,317939.9
1713,260434.66
1714,217307.805
1715,196797.665
1716,180339.31
1717,148396.0
1718,149129.02
1719,217513.43
1720,221412.02
1721,150287.78
1722,150287.78
1723,183382.035
1724,208092.565
1725,227071.35
1726,207085.25
1727,186051.78
1728,180137.765
1729,179091.085
